,offer_accepted,reward,mailer_type,income_level,#_bank_accounts_open,overdraft_protection,credit_rating,#_credit_cards_held,#_homes_owned,household_size,own_your_home,average_balance
24,No,Cash Back,Letter,Low,1,No,Low,2,1,4,Yes,1018.25
25,No,Cash Back,Postcard,Medium,1,Yes,High,3,2,5,Yes,1130.25
26,No,Air Miles,Postcard,Low,2,No,Low,3,2,1,Yes,877.0
27,Yes,Air Miles,Letter,Medium,1,No,Low,1,0,2,No,769.5
28,No,Cash Back,Postcard,Medium,1,Yes,Low,1,1,3,Yes,709.0
29,No,Points,Postcard,High,1,No,Medium,1,1,1,Yes,690.0
30,No,Points,Letter,Medium,1,No,High,2,0,3,No,863.25
31,No,Cash Back,Postcard,Low,2,No,Low,1,1,5,Yes,733.0
32,No,Points,Postcard,Low,1,No,High,2,0,4,No,771.0
33,No,Air Miles,Postcard,Low,3,No,Medium,1,1,4,Yes,659.5
34,No,Air Miles,Letter,Medium,1,No,Low,2,0,2,No,1258.0
35,No,Points,Letter,High,1,No,High,2,1,4,Yes,875.25
36,No,Air Miles,Postcard,Medium,2,No,Medium,2,2,2,Yes,675.75
37,No,Air Miles,Postcard,Medium,1,No,Medium,2,0,4,No,1095.75
38,No,Air Miles,Postcard,High,1,No,Low,1,0,8,No,1285.0
39,No,Air Miles,Postcard,Low,1,Yes,Medium,2,1,3,Yes,1079.25
40,No,Air Miles,Letter,Low,1,Yes,High,1,1,3,Yes,1119.75
41,No,Air Miles,Letter,High,1,No,Medium,3,1,3,Yes,172.0
42,No,Cash Back,Postcard,Medium,1,No,Medium,1,0,4,No,834.75
43,No,Air Miles,Letter,High,2,No,Medium,3,1,3,Yes,1044.75
44,No,Points,Postcard,Medium,1,No,Low,2,0,2,No,838.75
45,Yes,Air Miles,Postcard,High,1,Yes,Low,2,1,5,Yes,851.25
46,No,Air Miles,Letter,Medium,1,No,Medium,2,1,6,Yes,1040.25
47,No,Air Miles,Letter,Low,1,Yes,High,2,0,3,No,987.0
48,No,Air Miles,Postcard,Medium,1,No,Low,1,0,3,No,822.0
49,No,Points,Letter,Medium,2,Yes,High,1,1,5,Yes,650.5
50,Yes,Air Miles,Postcard,Low,1,No,High,2,1,2,Yes,931.75
51,No,Cash Back,Letter,Medium,1,No,Medium,1,1,3,Yes,988.0
52,No,Points,Letter,Medium,1,No,Medium,1,0,4,No,1145.5
53,No,Points,Postcard,Medium,3,No,Low,1,0,4,No,1162.5
54,No,Air Miles,Postcard,Medium,1,No,High,2,2,3,Yes,954.25
55,No,Points,Postcard,High,1,No,Medium,4,2,5,Yes,1301.25
56,No,Cash Back,Letter,Medium,1,No,Medium,2,1,4,Yes,1148.75
57,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,2,Yes,1192.75
58,No,Cash Back,Postcard,Medium,1,No,High,2,3,2,Yes,1195.5
59,No,Air Miles,Postcard,Medium,1,No,High,2,1,3,Yes,1351.5
60,No,Cash Back,Postcard,Medium,2,No,High,1,0,4,No,1062.25
61,No,Cash Back,Letter,Medium,1,No,High,2,1,2,Yes,1147.25
62,No,Cash Back,Letter,Medium,1,No,Low,1,1,3,Yes,1308.5
63,No,Cash Back,Postcard,Medium,2,No,High,2,0,2,No,363.0
64,No,Cash Back,Letter,Medium,1,No,Low,1,2,4,Yes,929.5
65,No,Cash Back,Postcard,Low,1,No,Low,2,0,2,No,718.0
66,No,Cash Back,Letter,High,1,No,High,1,1,3,Yes,1193.25
67,No,Air Miles,Letter,Medium,1,No,Medium,3,1,2,Yes,957.75
68,No,Points,Postcard,Medium,2,No,Low,2,0,4,No,1050.0
69,No,Points,Postcard,Medium,2,No,High,2,1,5,Yes,1266.5
70,No,Air Miles,Postcard,Medium,1,No,High,4,1,2,Yes,1124.75
71,No,Air Miles,Letter,High,3,No,High,2,0,1,No,1059.75
72,No,Cash Back,Postcard,Medium,1,No,High,1,0,1,No,1014.25
73,No,Air Miles,Letter,Low,1,No,High,1,1,3,Yes,891.25
74,Yes,Cash Back,Postcard,High,1,No,Low,2,2,5,Yes,1329.5
75,No,Air Miles,Letter,Medium,1,No,Medium,3,0,4,No,1023.5
76,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,5,Yes,908.5
77,No,Cash Back,Letter,High,1,No,Low,1,1,3,Yes,731.5
78,No,Points,Postcard,Low,1,No,Medium,2,0,2,No,793.5
79,No,Cash Back,Postcard,Medium,2,No,Low,1,1,3,Yes,1735.5
80,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,4,Yes,970.5
81,No,Cash Back,Letter,High,1,No,Low,2,1,4,Yes,995.25
82,No,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,904.0
83,No,Cash Back,Postcard,High,2,No,High,1,1,5,Yes,1128.5
84,No,Air Miles,Postcard,Medium,3,No,Medium,2,1,3,Yes,1102.75
85,No,Cash Back,Postcard,Medium,1,No,High,1,1,4,Yes,976.25
86,No,Air Miles,Letter,Medium,2,No,High,2,1,5,Yes,839.75
87,No,Points,Postcard,Medium,1,No,Medium,2,0,4,No,1293.0
88,No,Cash Back,Postcard,Medium,2,No,High,2,1,5,Yes,819.5
89,No,Air Miles,Postcard,Medium,2,No,Low,2,2,3,Yes,1094.5
90,No,Points,Postcard,Low,1,Yes,Low,1,1,2,Yes,1247.25
91,No,Air Miles,Letter,Medium,1,No,High,3,1,3,Yes,167.0
92,No,Cash Back,Letter,Medium,1,No,High,3,1,2,Yes,1144.75
93,No,Air Miles,Letter,Low,1,No,Medium,1,0,3,No,909.75
94,No,Cash Back,Postcard,Medium,1,Yes,Low,3,1,3,Yes,976.25
95,No,Points,Postcard,Low,2,No,Medium,2,3,4,Yes,741.0
96,No,Air Miles,Postcard,Low,1,No,Medium,1,1,2,Yes,1343.75
97,Yes,Points,Letter,Low,2,No,Low,3,1,3,Yes,1454.5
98,No,Air Miles,Letter,Medium,1,No,Medium,1,0,4,No,1791.25
99,No,Points,Letter,Low,2,Yes,Medium,1,1,3,Yes,1185.75
100,No,Cash Back,Letter,Low,1,No,High,2,1,3,Yes,1210.75
101,Yes,Points,Postcard,High,1,Yes,Low,1,0,9,No,161.5
102,No,Cash Back,Letter,Low,1,Yes,High,1,1,2,Yes,1033.75
103,No,Cash Back,Letter,High,2,No,Low,2,1,5,Yes,963.0
104,No,Cash Back,Postcard,Medium,1,No,High,2,3,5,Yes,1025.75
105,No,Points,Letter,Low,1,No,High,1,1,5,Yes,1071.75
106,No,Cash Back,Letter,Low,1,No,Low,2,2,3,Yes,1039.5
107,No,Air Miles,Postcard,Medium,1,No,Low,3,1,3,Yes,979.25
108,No,Points,Postcard,High,1,No,High,2,1,1,Yes,905.5
109,No,Cash Back,Letter,High,1,Yes,Medium,2,1,5,Yes,924.0
110,No,Cash Back,Postcard,Low,1,No,Low,1,1,2,Yes,1061.75
111,No,Points,Postcard,Medium,1,Yes,Medium,3,0,1,No,816.5
112,Yes,Air Miles,Letter,High,1,Yes,High,2,1,5,Yes,1082.5
113,No,Cash Back,Postcard,Medium,2,No,Low,1,1,4,Yes,928.25
114,No,Points,Postcard,High,1,No,Medium,2,1,3,Yes,1397.25
115,No,Points,Postcard,Low,2,No,Low,1,0,5,No,1034.5
116,No,Air Miles,Postcard,Medium,1,No,Low,2,1,5,Yes,738.5
117,No,Cash Back,Postcard,High,1,No,High,2,1,4,Yes,1251.5
118,No,Points,Postcard,Low,1,No,High,1,1,5,Yes,1153.75
119,No,Cash Back,Postcard,High,1,No,Medium,2,1,4,Yes,864.0
120,No,Cash Back,Letter,Medium,1,No,High,3,0,2,No,1155.5
121,No,Cash Back,Postcard,High,1,No,High,1,0,5,No,1090.5
122,No,Cash Back,Letter,Low,1,No,Medium,2,0,4,No,1090.5
123,No,Air Miles,Letter,Low,1,No,Low,2,1,3,Yes,773.75
124,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,Yes,1052.0
125,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,Yes,944.25
126,No,Points,Letter,Medium,1,No,High,1,0,4,No,1147.25
127,No,Cash Back,Letter,High,1,No,High,2,1,3,Yes,1159.5
128,No,Air Miles,Postcard,High,1,No,High,1,0,3,No,836.5
129,No,Cash Back,Letter,Medium,2,No,Medium,2,1,3,Yes,1057.75
130,No,Cash Back,Postcard,Medium,1,No,Medium,3,0,5,No,714.75
131,Yes,Air Miles,Postcard,High,2,No,Medium,2,2,3,Yes,811.5
132,No,Cash Back,Letter,Medium,1,No,High,2,0,3,No,865.75
133,No,Cash Back,Postcard,Medium,1,No,Low,1,1,3,Yes,887.25
134,No,Cash Back,Letter,High,1,No,Medium,2,0,5,No,1791.75
135,No,Points,Postcard,High,1,No,High,2,1,3,Yes,1083.0
136,No,Points,Letter,Medium,2,No,Low,1,1,2,Yes,212.5
137,No,Cash Back,Letter,Medium,1,No,Low,2,0,2,No,877.75
138,No,Air Miles,Letter,Medium,1,No,High,2,0,3,No,691.5
139,No,Air Miles,Postcard,Low,2,No,Medium,2,2,4,Yes,814.5
140,No,Points,Postcard,Medium,1,No,Medium,2,1,4,Yes,955.5
141,No,Cash Back,Letter,High,1,No,High,2,1,4,Yes,1281.5
142,No,Air Miles,Letter,High,1,Yes,Low,2,1,3,Yes,937.5
143,No,Points,Letter,Medium,3,Yes,Medium,2,1,3,Yes,919.75
144,No,Points,Postcard,Medium,3,Yes,High,1,1,3,Yes,879.75
145,No,Points,Letter,Medium,1,Yes,Low,4,0,4,No,1181.0
146,No,Air Miles,Postcard,Low,1,No,Medium,1,0,3,No,1153.5
147,No,Points,Postcard,High,1,No,High,2,1,4,Yes,794.25
148,No,Points,Postcard,Medium,1,Yes,Low,3,1,4,Yes,927.25
149,No,Points,Letter,Medium,1,No,Medium,3,0,2,No,1809.0
150,No,Cash Back,Letter,Low,1,No,Medium,1,0,5,No,1156.25
151,No,Air Miles,Postcard,High,1,Yes,Low,2,0,4,No,1121.5
152,No,Cash Back,Letter,High,1,No,Medium,2,1,4,Yes,1203.0
153,No,Points,Letter,High,2,No,Low,1,0,1,No,246.25
154,No,Air Miles,Letter,Low,2,No,Low,1,1,4,Yes,1454.75
155,No,Points,Postcard,High,1,No,Low,2,0,2,No,687.0
156,No,Points,Postcard,High,2,Yes,Low,1,1,3,Yes,928.0
157,No,Points,Postcard,High,1,No,Low,2,0,2,No,933.0
158,Yes,Cash Back,Postcard,Medium,3,No,Low,1,0,5,No,1133.25
159,No,Cash Back,Letter,Medium,1,No,Low,3,2,5,Yes,1301.5
160,No,Cash Back,Letter,High,2,No,Medium,1,1,2,Yes,1199.0
161,No,Points,Letter,Medium,2,No,Low,1,1,3,Yes,1084.25
162,No,Cash Back,Postcard,Low,1,No,High,2,0,2,No,1094.5
163,No,Points,Letter,High,1,Yes,High,1,1,3,Yes,1104.0
164,No,Air Miles,Letter,High,1,No,Low,1,1,4,Yes,1042.5
165,No,Cash Back,Postcard,Medium,1,No,High,1,1,5,Yes,1089.75
166,No,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,974.25
167,No,Air Miles,Postcard,Medium,2,No,High,2,1,3,Yes,991.5
168,No,Points,Postcard,Low,1,Yes,Medium,2,1,3,Yes,1204.25
169,No,Air Miles,Postcard,Medium,1,No,Low,2,0,5,No,865.0
170,No,Points,Postcard,Medium,1,No,High,2,1,2,Yes,1144.0
171,No,Air Miles,Letter,Medium,1,No,Medium,3,2,4,Yes,958.5
172,No,Cash Back,Letter,Medium,1,No,Low,2,2,3,Yes,1056.25
173,No,Points,Letter,Medium,1,No,Medium,3,1,3,Yes,695.0
174,No,Cash Back,Postcard,Low,1,No,High,4,1,2,Yes,1237.5
175,No,Cash Back,Letter,Low,1,No,High,2,1,5,Yes,1034.0
176,No,Cash Back,Letter,High,1,No,High,1,1,4,Yes,1246.5
177,No,Cash Back,Letter,Medium,1,No,Low,2,0,2,No,998.75
178,No,Points,Postcard,High,1,No,Medium,2,1,3,Yes,1028.0
179,No,Points,Postcard,Medium,2,No,High,2,0,2,No,320.0
180,No,Points,Letter,Low,2,No,High,1,2,3,Yes,91.25
181,No,Points,Letter,High,2,Yes,Medium,1,1,3,Yes,166.25
182,No,Air Miles,Letter,Medium,2,Yes,Low,3,0,2,No,240.0
183,No,Points,Postcard,Medium,1,No,Medium,2,0,5,No,124.75
184,No,Air Miles,Letter,High,1,No,Low,1,0,3,No,1145.75
185,No,Points,Postcard,Medium,3,No,Low,2,0,6,No,1292.5
186,No,Points,Letter,Medium,1,Yes,High,2,2,3,Yes,1186.0
187,No,Air Miles,Postcard,Medium,2,No,High,1,1,5,Yes,1135.25
188,No,Cash Back,Letter,Low,1,No,Low,3,1,4,Yes,1279.25
189,No,Air Miles,Postcard,High,1,No,Low,2,2,3,Yes,1162.0
190,No,Cash Back,Postcard,Medium,1,No,Low,2,0,3,No,954.5
191,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,3,Yes,1073.25
192,No,Points,Letter,Medium,1,No,Medium,1,1,4,Yes,889.0
193,No,Points,Letter,Medium,1,No,Low,1,0,3,No,294.25
194,No,Air Miles,Postcard,Low,2,No,Low,3,1,3,Yes,1047.5
195,No,Air Miles,Letter,Low,2,No,Low,1,1,3,Yes,661.25
196,No,Cash Back,Letter,Medium,2,No,Medium,3,1,2,Yes,158.75
197,No,Cash Back,Postcard,High,1,No,Medium,2,2,3,Yes,1059.0
198,No,Air Miles,Letter,Low,1,No,Medium,1,1,2,Yes,1741.75
199,No,Points,Postcard,High,1,No,Low,1,1,4,Yes,1419.5
200,No,Cash Back,Letter,Medium,1,No,Low,2,1,3,Yes,232.5
201,No,Points,Letter,Medium,1,No,High,2,0,3,No,1122.5
202,No,Cash Back,Postcard,Medium,2,No,Low,1,0,4,No,1250.75
203,No,Air Miles,Letter,Medium,1,No,High,3,2,2,Yes,1057.0
204,No,Points,Postcard,High,1,No,Low,1,0,4,No,1195.0
205,No,Air Miles,Letter,Medium,2,Yes,High,1,1,3,Yes,936.25
206,No,Air Miles,Postcard,High,1,No,Low,1,1,5,Yes,791.5
207,No,Cash Back,Letter,Medium,2,No,High,1,1,4,Yes,1426.0
208,No,Air Miles,Letter,Low,2,No,High,2,1,4,Yes,764.75
209,No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,830.0
210,No,Air Miles,Letter,Low,1,No,High,2,0,3,No,1162.25
211,No,Cash Back,Letter,Medium,2,No,High,2,2,3,Yes,1065.5
212,No,Cash Back,Letter,Medium,1,Yes,Low,1,1,3,Yes,1022.25
213,No,Cash Back,Postcard,Medium,1,No,Low,4,1,5,Yes,1181.0
214,No,Air Miles,Postcard,Low,1,No,Medium,3,1,4,Yes,1764.0
215,No,Cash Back,Letter,Low,2,No,Low,2,0,2,No,1043.25
216,No,Points,Letter,Medium,1,No,High,2,0,3,No,1702.0
217,No,Air Miles,Postcard,High,1,No,Medium,2,0,4,No,856.0
218,No,Air Miles,Letter,Medium,1,No,Medium,2,0,5,No,390.75
219,No,Air Miles,Postcard,Low,1,No,Low,3,0,4,No,1101.5
220,No,Points,Letter,Low,1,No,Medium,2,0,4,No,1016.5
221,No,Cash Back,Letter,Medium,2,No,High,3,1,5,Yes,287.75
222,No,Cash Back,Letter,Low,1,No,Low,3,0,6,No,841.25
223,No,Cash Back,Postcard,Medium,1,No,Low,3,2,6,Yes,911.75
224,Yes,Air Miles,Letter,Low,1,No,Low,1,0,3,No,1141.5
225,No,Air Miles,Letter,Medium,1,No,High,1,1,4,Yes,946.25
226,No,Cash Back,Letter,Low,1,No,High,3,1,5,Yes,1190.25
227,No,Air Miles,Letter,Medium,1,No,High,3,1,4,Yes,924.0
228,No,Cash Back,Postcard,Low,1,No,Low,2,0,4,No,823.75
229,No,Points,Postcard,Medium,1,No,High,3,0,4,No,1006.0
230,No,Points,Letter,Low,1,No,Low,1,1,4,Yes,1008.75
231,No,Points,Letter,Low,1,No,Medium,2,0,3,No,1128.0
232,No,Cash Back,Postcard,High,2,No,Low,2,1,1,Yes,1340.5
233,No,Points,Postcard,Low,1,Yes,Low,3,0,3,No,1371.0
234,No,Cash Back,Letter,Medium,1,No,Low,1,0,3,No,1331.25
235,No,Points,Postcard,Low,1,Yes,High,2,1,3,Yes,704.5
236,No,Air Miles,Postcard,Medium,1,No,High,1,2,3,Yes,1509.0
237,No,Cash Back,Postcard,High,2,No,Low,3,0,3,No,203.25
238,No,Air Miles,Postcard,High,1,No,Medium,1,1,2,Yes,1034.0
239,No,Air Miles,Postcard,Medium,1,No,Low,3,0,5,No,1007.25
240,No,Air Miles,Letter,Medium,1,No,High,3,1,4,Yes,874.0
241,No,Points,Letter,Medium,2,No,High,1,2,4,Yes,1148.0
242,No,Air Miles,Letter,High,1,No,Low,3,1,3,Yes,229.25
243,No,Points,Postcard,Medium,1,No,High,2,0,3,No,962.75
244,No,Points,Postcard,Medium,1,No,Low,4,0,5,No,1437.75
245,No,Air Miles,Letter,Low,1,No,High,1,1,4,Yes,1281.5
246,No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,1029.5
247,No,Air Miles,Postcard,Low,1,No,High,2,0,2,No,883.75
248,No,Air Miles,Letter,Medium,1,No,Low,4,0,4,No,1144.5
249,No,Points,Letter,Medium,1,No,Medium,2,2,3,Yes,1117.0
250,Yes,Air Miles,Letter,High,1,No,Medium,1,1,5,Yes,1047.75
251,No,Air Miles,Postcard,Low,1,No,Medium,4,1,4,Yes,992.5
252,No,Air Miles,Letter,Low,1,No,High,1,1,1,Yes,1065.25
253,No,Points,Postcard,Low,1,No,Low,4,0,3,No,1526.0
254,No,Air Miles,Letter,Medium,1,No,Medium,2,1,2,Yes,1741.75
255,No,Cash Back,Letter,Medium,2,No,High,1,0,3,No,342.5
256,No,Air Miles,Letter,Medium,1,No,Medium,3,0,5,No,935.75
257,No,Points,Postcard,Low,1,No,Low,1,1,1,Yes,1058.5
258,No,Points,Letter,Medium,1,No,Medium,3,1,3,Yes,855.0
259,No,Cash Back,Postcard,Medium,1,No,Medium,1,0,5,No,1263.0
260,No,Cash Back,Letter,Medium,2,No,Medium,1,1,6,Yes,1094.25
261,No,Air Miles,Postcard,High,1,No,High,2,0,2,No,228.25
262,No,Cash Back,Postcard,Medium,1,No,Low,1,0,3,No,1265.0
263,Yes,Air Miles,Postcard,Medium,1,No,Low,4,0,4,No,1034.0
264,No,Points,Postcard,Medium,1,No,Low,2,2,2,Yes,1210.25
265,No,Cash Back,Letter,Low,1,No,High,2,1,3,Yes,1150.5
266,No,Points,Postcard,Low,2,No,Medium,2,1,3,Yes,691.5
267,No,Points,Letter,Medium,1,No,Medium,2,1,3,Yes,1296.25
268,No,Points,Letter,Medium,1,No,Medium,2,2,3,Yes,690.5
269,No,Cash Back,Letter,Medium,1,No,Medium,1,1,4,Yes,1161.25
270,No,Cash Back,Letter,Low,1,Yes,Low,3,1,1,Yes,874.25
271,No,Cash Back,Postcard,Low,1,No,High,2,1,2,Yes,1272.75
272,No,Air Miles,Letter,Low,2,No,Low,1,0,3,No,1028.75
273,No,Cash Back,Letter,Medium,2,No,Medium,1,0,4,No,677.25
274,No,Air Miles,Postcard,High,1,No,Low,3,0,4,No,1053.25
275,No,Points,Postcard,Low,1,No,High,1,0,3,No,1022.0
276,No,Points,Letter,Medium,1,No,Medium,3,2,3,Yes,1024.0
277,Yes,Points,Postcard,High,2,No,Low,1,1,1,Yes,887.25
278,No,Air Miles,Letter,Medium,1,No,Medium,2,0,4,No,1163.25
279,No,Points,Letter,High,1,No,Low,2,0,3,No,139.0
280,No,Points,Letter,Medium,1,No,High,4,1,3,Yes,1164.5
281,Yes,Cash Back,Postcard,Low,1,Yes,Low,2,1,4,Yes,984.0
282,No,Air Miles,Letter,Low,1,Yes,Medium,2,1,4,Yes,735.75
283,No,Cash Back,Letter,Medium,1,No,High,2,1,3,Yes,1176.0
284,No,Air Miles,Postcard,Medium,1,No,Medium,3,0,5,No,1504.5
285,Yes,Points,Postcard,Low,2,No,Low,4,1,3,Yes,881.25
286,No,Cash Back,Postcard,Medium,1,No,Low,2,1,3,Yes,1168.5
287,Yes,Cash Back,Letter,Low,2,No,Low,3,2,3,Yes,1107.5
288,No,Air Miles,Letter,Medium,2,No,High,2,0,4,No,129.75
289,No,Points,Postcard,Low,1,No,High,3,0,1,No,1033.75
290,No,Points,Postcard,Medium,1,No,High,1,1,4,Yes,742.25
291,No,Cash Back,Postcard,Medium,2,No,High,2,1,3,Yes,1423.25
292,No,Air Miles,Letter,Medium,1,Yes,High,1,1,4,Yes,239.25
293,No,Points,Postcard,Medium,1,No,High,2,0,3,No,1143.75
294,No,Air Miles,Postcard,Medium,1,No,High,2,0,5,No,828.0
295,No,Air Miles,Letter,Medium,1,Yes,High,1,0,4,No,873.25
296,No,Cash Back,Postcard,High,1,No,Medium,3,1,4,Yes,734.0
297,No,Cash Back,Postcard,Medium,1,No,High,1,1,4,Yes,661.25
298,No,Points,Postcard,High,1,No,High,1,1,3,Yes,1159.25
299,No,Points,Postcard,Medium,1,Yes,Medium,3,0,2,No,1005.5
300,Yes,Cash Back,Postcard,High,1,No,Low,2,1,4,Yes,896.25
301,No,Air Miles,Letter,Medium,1,No,High,2,2,5,Yes,1101.75
302,No,Cash Back,Postcard,Low,1,Yes,Low,2,0,4,No,278.0
303,No,Points,Letter,Medium,2,Yes,Medium,3,0,5,No,715.25
304,No,Points,Letter,Medium,1,No,Low,1,1,5,Yes,1611.5
305,No,Points,Letter,High,2,No,High,2,0,3,No,914.25
306,No,Points,Letter,High,3,No,Low,1,1,4,Yes,253.25
307,No,Cash Back,Letter,Low,1,No,Medium,3,0,4,No,1035.25
308,No,Air Miles,Letter,Low,2,Yes,Medium,1,0,2,No,1261.75
309,No,Points,Postcard,Medium,1,No,Medium,2,0,3,No,275.5
310,No,Air Miles,Postcard,Medium,1,No,Medium,3,0,5,No,755.5
311,No,Air Miles,Postcard,Low,1,No,Medium,1,1,3,Yes,1295.25
312,Yes,Air Miles,Postcard,Medium,1,Yes,Medium,3,1,2,Yes,944.5
313,No,Cash Back,Letter,Medium,1,No,High,2,2,2,Yes,1148.25
314,No,Air Miles,Postcard,Medium,1,No,High,2,0,4,No,172.75
315,No,Points,Postcard,Medium,2,No,High,3,1,4,Yes,756.0
316,No,Air Miles,Postcard,High,2,No,Low,1,1,4,Yes,1486.75
317,No,Points,Postcard,Low,1,Yes,Low,1,0,5,No,1076.0
318,No,Air Miles,Postcard,Medium,1,Yes,High,2,1,5,Yes,1094.0
319,No,Points,Letter,Low,1,No,Medium,2,1,4,Yes,287.25
320,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,916.5
321,No,Cash Back,Postcard,Low,1,No,Medium,3,0,3,No,1376.75
322,No,Air Miles,Postcard,Medium,1,No,Low,2,0,4,No,648.75
323,No,Points,Postcard,Low,1,No,Low,2,1,4,Yes,683.25
324,No,Points,Letter,Medium,1,No,Low,1,0,5,No,979.25
325,No,Cash Back,Postcard,High,1,No,High,2,0,4,No,913.75
326,No,Air Miles,Letter,Medium,1,Yes,High,4,1,3,Yes,755.25
327,No,Cash Back,Letter,Medium,1,No,Low,2,0,2,No,1000.75
328,No,Points,Postcard,Medium,1,No,Low,2,1,5,Yes,1107.0
329,No,Points,Letter,Medium,1,No,High,2,1,5,Yes,762.25
330,No,Points,Letter,High,1,No,Medium,2,1,3,Yes,1223.5
331,No,Air Miles,Postcard,Low,1,No,Medium,2,1,2,Yes,932.5
332,No,Cash Back,Letter,Medium,1,No,Low,2,1,3,Yes,967.75
333,No,Points,Postcard,Low,2,No,Low,2,1,4,Yes,222.75
334,No,Points,Postcard,Medium,2,No,Low,1,0,2,No,1003.75
335,No,Air Miles,Postcard,Medium,1,No,High,2,1,3,Yes,1221.0
336,No,Cash Back,Postcard,High,3,No,Low,1,1,4,Yes,915.5
337,No,Cash Back,Postcard,Medium,1,No,Medium,3,1,3,Yes,984.25
338,No,Cash Back,Letter,Medium,1,Yes,High,2,1,2,Yes,1266.5
339,No,Points,Postcard,High,2,No,Medium,2,1,4,Yes,899.5
340,No,Cash Back,Postcard,High,1,No,Medium,3,0,2,No,1224.5
341,Yes,Points,Postcard,Low,1,No,Low,2,0,5,No,1735.25
342,No,Cash Back,Letter,Medium,2,No,High,1,2,4,Yes,1057.75
343,No,Points,Letter,Low,1,No,High,4,1,2,Yes,1196.25
344,No,Cash Back,Letter,Medium,1,No,Medium,2,2,5,Yes,219.5
345,No,Air Miles,Letter,Medium,1,No,High,2,2,3,Yes,1113.25
346,No,Points,Letter,Medium,2,Yes,High,2,1,4,Yes,969.25
347,No,Air Miles,Letter,Medium,1,No,Low,1,1,5,Yes,823.25
348,Yes,Points,Postcard,Medium,2,No,Low,1,1,4,Yes,992.25
349,No,Cash Back,Postcard,Medium,3,No,Low,2,0,4,No,750.75
350,No,Points,Letter,Medium,1,No,High,1,2,4,Yes,1101.75
351,No,Air Miles,Postcard,High,1,No,Low,3,0,3,No,756.75
352,No,Points,Letter,High,1,No,Low,1,1,5,Yes,1092.0
353,No,Points,Letter,Medium,2,No,Medium,3,1,4,Yes,1072.0
354,No,Cash Back,Postcard,Low,1,No,High,2,1,3,Yes,910.25
355,No,Points,Letter,Medium,1,No,Medium,3,1,5,Yes,884.5
356,No,Points,Postcard,Low,1,No,Medium,3,1,6,Yes,1007.75
357,No,Points,Letter,High,2,Yes,High,2,1,3,Yes,1069.0
358,No,Cash Back,Letter,Low,1,No,Low,2,1,3,Yes,257.5
359,No,Air Miles,Postcard,Medium,1,No,Low,1,0,3,No,1095.25
360,No,Cash Back,Letter,High,1,No,Low,2,2,3,Yes,1157.5
361,No,Air Miles,Letter,Medium,1,No,Medium,2,0,2,No,1015.75
362,No,Air Miles,Postcard,Low,2,No,High,2,0,4,No,986.5
363,No,Cash Back,Letter,High,1,Yes,Medium,3,1,3,Yes,962.0
